calendar_date,Point,Site,value,scale
2018-12-14,SE,limestone,0.3924799,1
2018-12-14,SE,sand,0.3830104,1
2018-12-14,SE,invasion,0.6209588,1
2018-12-14,SE,sandstone,0.2370452,1
2018-12-14,SE,grass,0.3866159,1
2018-12-14,SE,renosterveld,0.3592781,1
2018-12-14,SW,limestone,0.4143223,1
2018-12-14,SW,sand,0.3409962,1
2018-12-14,SW,invasion,0.6093807,1
2018-12-14,SW,sandstone,0.2337804,1
2018-12-14,SW,grass,0.5384615,1
2018-12-14,SW,renosterveld,0.3336809,1
2018-12-14,NW,limestone,0.3818182,1
2018-12-14,NW,sandstone,NA,1
2018-12-14,NE,limestone,0.4030819,1
2018-12-14,NE,sand,0.3648069,1
2018-12-14,NE,invasion,0.6277565,1
2018-12-14,NE,sandstone,0.3841555,1
2018-12-14,NE,grass,0.3311956,1
2018-12-14,NE,renosterveld,0.3344017,1
2018-12-14,NW,sand,0.2487864,1
2018-12-14,NW,invasion,0.6331702,1
2018-12-14,NW,grass,0.5514891,1
2018-12-14,NW,renosterveld,0.3316169,1
2018-12-17,SE,limestone,NA,1
2018-12-17,SE,sand,NA,1
2018-12-17,SE,invasion,NA,1
2018-12-17,SE,sandstone,NA,1
2018-12-17,SE,grass,NA,1
2018-12-17,SE,renosterveld,NA,1
2018-12-17,SW,limestone,NA,1
2018-12-17,SW,sand,NA,1
2018-12-17,SW,invasion,NA,1
2018-12-17,SW,sandstone,NA,1
2018-12-17,SW,grass,NA,1
2018-12-17,SW,renosterveld,NA,1
2018-12-17,NW,limestone,NA,1
2018-12-17,NW,sandstone,NA,1
2018-12-17,NE,limestone,NA,1
2018-12-17,NE,sand,NA,1
2018-12-17,NE,invasion,NA,1
2018-12-17,NE,sandstone,NA,1
2018-12-17,NE,grass,NA,1
2018-12-17,NE,renosterveld,NA,1
2018-12-17,NW,sand,NA,1
2018-12-17,NW,invasion,NA,1
2018-12-17,NW,grass,NA,1
2018-12-17,NW,renosterveld,NA,1
2018-12-19,SE,limestone,NA,1
